DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,DK,2015,273017.6,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,DK,2016,283109.7,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,DK,2017,294808.2,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,DK,2018,302328.7,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,DK,2019,309526.4,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,DK,2020,311759.7,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,EE,2012,17916.7,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,EE,2013,18910.8,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,EE,2014,20048.2,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,EE,2015,20631.4,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,EE,2016,21747.9,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,EE,2017,23833.6,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,EE,2018,25932.2,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,EE,2019,27764.7,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,EE,2020,27465.0,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,EL,2012,188380.6,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,EL,2013,179884.4,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,EL,2014,177236.0,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,EL,2015,176368.9,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,EL,2016,174494.2,
